index,station_start,station_end,length,elevation,grade,grade_deg,width,offset_left,offset_right,cross_slope,status,left_reason,right_reason
0,0.0,5.0,5.0,588.361250335095,0.9009893771210404,0.5162149187904101,6.1,3.1,3.0,1.140935212476549,measured,,
1,5.0,10.0,5.0,588.4503209731158,4.149937694428732,2.3763755806256466,2.4000000000000004,1.6,0.8,-2.962411733774038,measured,,
2,10.0,15.0,5.0,588.5046793619791,2.3018870634191173,1.3186512655155038,6.5,4.2,2.3000000000000003,-1.9354253780268238,measured,,
3,15.0,20.0,5.0,588.5687854243259,-0.3550147147200227,-0.20340759363561708,3.8000000000000003,1.7000000000000002,2.1,3.2940822091662443,measured,,
4,20.0,25.0,5.0,588.6914337756587,4.666626528916856,2.671841646009565,9.700000000000001,3.9000000000000004,5.800000000000001,1.514274175396201,measured,,
5,25.0,30.0,5.0,588.7855152803309,0.48495607678167424,0.2778571862644855,3.8000000000000003,0.7000000000000001,3.1,2.5678009156756065,measured,,
6,30.0,35.0,5.0,588.8372455671722,1.6603550975678731,0.9512259915988515,1.7000000000000002,0.7000000000000001,1.0,-3.0938966355456663,measured,,
7,35.0,40.0,5.0,588.860211540671,-0.6092026654411765,-0.349043098034142,9.4,8.4,1.0,1.8714323823422623,measured,,
8,40.0,45.0,5.0,588.9030749751072,1.9215745192307696,1.1008456191935077,2.3,1.5,0.8,2.766670558763587,measured,,
9,45.0,50.0,5.0,589.0185499004289,2.3509913655967196,1.3467707385018528,,,3.3000000000000003,,no_edge,break_at_axis,
10,50.0,55.0,5.0,589.0709599513633,-2.18720172864819,-1.2529745039735118,24.8,23.6,1.2000000000000002,2.912689031073892,measured,,
11,55.0,60.0,5.0,589.1010622510723,1.9074342477375568,1.0927468089085082,9.8,8.6,1.2000000000000002,3.4893176020408165,measured,,
12,60.0,65.0,5.0,589.1714573280484,1.7176950031815612,0.984069966845699,2.9000000000000004,0.7000000000000001,2.2,-0.4732227431521133,measured,,
13,65.0,70.0,5.0,589.272314931832,0.7717881698953618,0.44219326842053996,3.4000000000000004,2.4000000000000004,1.0,0.5773378687412465,measured,,
14,70.0,75.0,5.0,589.340680290671,1.9278824059671937,1.1044584336728462,1.8000000000000003,0.7000000000000001,1.1,1.2575383771929822,measured,,
15,75.0,80.0,5.0,589.4678572112439,3.7073251025169673,2.123168460223864,2.4000000000000004,1.9000000000000001,0.5,-3.6512169471153837,measured,,
16,80.0,85.0,5.0,589.6057619581036,-3.0315250724688894,-1.7364041248887758,5.300000000000001,5.1000000000000005,0.2,3.9181173654290538,measured,,
17,85.0,90.0,5.0,589.5946380016851,-0.06343237415158363,-0.036344068359258797,12.5,5.4,7.1000000000000005,1.3475304722651853,measured,,
18,90.0,95.0,5.0,589.6096706016391,2.5979710919824655,1.4881930325796215,4.5,3.2,1.3,3.0239259318146776,measured,,
19,95.0,100.0,5.0,589.6941863415288,3.428159687853506,1.963421900953905,1.6,0.5,1.1,1.0381960401348038,measured,,
20,100.0,105.0,5.0,589.8279550589767,0.653965462386877,0.374689268026185,1.3000000000000003,0.7000000000000001,0.6000000000000001,9.004362336881865,measured,,
21,105.0,110.0,5.0,589.8849032532935,4.085986107183257,2.339796051580159,,,0.5,,no_edge,break_at_axis,
22,110.0,115.0,5.0,589.9695039636948,-0.891273464013009,-0.5106485576502062,,2.7,,,no_edge,,break_at_axis
23,115.0,120.0,5.0,589.982026941636,4.095718590921944,2.3453630376081347,2.1,1.8,0.30000000000000004,-4.20060418945864,measured,,
24,120.0,125.0,5.0,590.0724355660233,0.5995640819428724,0.3435207982072047,5.5,4.9,0.6000000000000001,-0.49943904394331007,measured,,
25,125.0,130.0,5.0,590.1487175436581,1.613681154553166,0.9244909571342222,8.5,8.0,0.5,1.067945076455552,measured,,
26,130.0,135.0,5.0,590.3159239525888,2.736015492434955,1.5672304172458098,4.6,2.5,2.1,0.16472716777000465,measured,,
27,135.0,140.0,5.0,590.464100557215,5.333163576428165,3.0527855271176065,1.8,0.9,0.9,6.038411458333333,measured,,
28,140.0,145.0,5.0,590.2604058957568,-1.7029968537895936,-0.9756510103759009,,,1.3,,no_edge,break_at_axis,
29,145.0,150.0,5.0,590.3764121859681,-0.32344766332013636,-0.185321213751019,0.7000000000000001,0.4,0.30000000000000004,25.4240490141369,measured,,
30,150.0,155.0,5.0,590.4853192497702,2.854418172016402,1.6350171841733192,4.800000000000001,1.4000000000000001,3.4000000000000004,-0.16122623365752553,measured,,
31,155.0,160.0,5.0,590.5125732421875,0.6763468608597291,0.3875122973608419,13.4,0.9,12.5,-1.4536545667610168,measured,,
32,160.0,165.0,5.0,590.6114992627911,1.9881608367505663,1.1389821935376052,2.5,2.2,0.30000000000000004,-3.457427717681623,measured,,
33,165.0,170.0,5.0,590.7486787683823,-1.5784630408653837,-0.9043176036284566,5.0,1.4000000000000001,3.6,3.3587784572963795,measured,,
34,170.0,175.0,5.0,590.630599676394,-0.51736270680147,-0.296424351051495,7.200000000000001,1.6,5.6000000000000005,-1.447116212022168,measured,,
35,175.0,180.0,5.0,590.6419462316177,-0.7845254613263573,-0.4494907569415335,2.2,1.5,0.7000000000000001,-0.530740489130435,measured,,
36,180.0,185.0,5.0,590.6471366134344,-2.1857324660633464,-1.2521330807764486,2.9000000000000004,1.5,1.4000000000000001,-3.364157331931312,measured,,
37,185.0,190.0,5.0,590.7079575482537,0.5700020768523758,0.32658359627784905,1.4000000000000001,0.6000000000000001,0.8,-4.411315917968749,measured,,
38,190.0,195.0,5.0,590.8019301470588,3.1336995810944535,1.7948902245916916,2.6,2.1,0.5,2.6678101629273496,measured,,
39,195.0,200.0,5.0,590.9593900792739,11.270851376908933,6.43058410178513,0.9000000000000001,0.6000000000000001,0.30000000000000004,-7.756643584280304,measured,,
40,200.0,205.0,5.0,591.014435412837,-5.556298165299775,-3.1802542945497914,0.7000000000000001,0.6000000000000001,0.1,9.955269949776783,measured,,
