index,station_start,station_end,length,elevation,grade_pct,grade_deg,width,offset_left,offset_right,cross_slope_pct,status,left_reason,right_reason,left_edge_source,right_edge_source,width_min,width_max,width_sections,width_measured_sections
53,265.000,270.000,5.000,591.848,1.157,0.663,1.900,1.300,0.600,-7.006,measured,,,measured,measured,,,,
54,270.000,275.000,5.000,591.973,5.177,2.964,1.000,0.400,0.600,-11.487,measured,,,measured,measured,,,,
55,275.000,280.000,5.000,592.114,1.272,0.729,3.500,2.600,0.900,-0.178,measured,,,measured,measured,,,,
56,280.000,285.000,5.000,592.121,0.891,0.510,1.900,0.800,1.100,-1.478,measured,,,measured,measured,,,,
57,285.000,290.000,5.000,592.149,0.474,0.272,0.700,0.500,0.200,-12.214,measured,,,measured,measured,,,,
58,290.000,292.917,2.917,592.193,1.953,1.119,3.500,2.000,1.500,-3.744,measured,,,measured,measured,,,,
# analisis: Polilínea 1
# eje: 8f61f159-b2f9-4d38-aec0-ff1d3e853f63 (annotation), longitud en planta 292.917 m
# modelo: dtm / original
# break_threshold: 15.0
# min_consecutive_samples: 3
# sample_step: 0.1
# search_half_width: 25.0
# segment_length: 5.0
# unidades: distancias en m, pendientes en %, grade_deg en grados
# las celdas vacias son metricas que no se pudieron medir, no ceros
